,Time,User,Tweet
0,2022-03-13 11:50:52+00:00,Sairee,"Putin wants less NATO
He is getting more NATO

https://t.co/jEZWkAYt8g"
1,2022-03-13 11:36:17+00:00,ShashiTharoor,This is why @incindia remains by far the most credible of the national opposition parties. It’s also why it’s worth… https://t.co/JYQ6lS2NRY
2,2022-03-13 11:34:59+00:00,thekiranbedi,"Today at 5:45pm!
Inaugural Light - “Let’s Ignite Together with #focustouchinglives @radiomadhuban https://t.co/nu8iMlQcAc"
3,2022-03-13 11:31:53+00:00,ShashiTharoor,Good to wish you in person @Kshitij_Dau — have a great year ahead! https://t.co/AZ1w6dxfFr
4,2022-03-13 10:52:42+00:00,TLLLFoundation,"It's crucial to understand that women are more vulnerable to anxiety, depression, insomnia and eating disorders. Be… https://t.co/IhzCOBlDR0"
5,2022-03-13 10:38:39+00:00,thekiranbedi,"Today at 4pm!
Award Ceremony of Delhi Cup Soccer League season 7. @FootballDelhi #footballdelhi #DCSL #awardceremony https://t.co/Pi0ImqVpbn"
6,2022-03-13 09:45:56+00:00,cultfitOfficial,"A Sunday dilemma should always be between - Nap after lunch? or Lunch after nap? 

#RestItOut #Fitness #WeAreCult #SundayBreaks"
7,2022-03-13 09:30:04+00:00,cnnbrk,"At least nine people were killed by Russian missile strikes on a military base near Lviv, close to Ukraine's border… https://t.co/kQInFnqkxy"
8,2022-03-13 09:00:01+00:00,UNICEF,Hospitals and maternity wards in #Ukraine have moved their patients to basements or are operating under crossfire.… https://t.co/TW8j8Ix5Nc
9,2022-03-13 08:10:05+00:00,thekiranbedi,The Week That Was from @DemonstrativeLE @SainaRBharucha https://t.co/ZC1fBaEduZ
10,2022-03-13 08:09:43+00:00,thekiranbedi,The Week That Was from @IVFoundation https://t.co/zx1AJE3dGJ
11,2022-03-13 08:08:34+00:00,thekiranbedi,The Week That Was from Rural Program! @NavjyotiIF @BediUjala @Chandni_Bedi https://t.co/PyBgGeeEys
12,2022-03-13 08:07:25+00:00,thekiranbedi,"The Week That was from Urban Programs.
*Highlights*
Breaking the bias, sensitization to children, youth and communi… https://t.co/35Fi3629Kk"
13,2022-03-13 08:00:05+00:00,UNESCO,"📣 Calling all researchers! 📣 

Don’t miss your chance to be awarded one of 12 #SilkRoads grants available!

Submit… https://t.co/g63BdpfvJ4"
14,2022-03-13 07:15:19+00:00,Sairee,"RT @drriteshmalik: There was no arrest, no negligent driving, infact the car didnt even have a scratch. Total fabrication of events to vict…"
15,2022-03-13 06:58:35+00:00,Sairee,"Ordered these to gift, from a budding @SHOPonSHEROES artist 💜

Just perfect. 

Check out this awesome product Aesth… https://t.co/iTDJR6fOxd"
16,2022-03-13 06:35:41+00:00,cnnbrk,"Russian airstrikes hit the International Peacekeeping and Security Center, a huge military base near Lviv, local of… https://t.co/v6C9NtIzYr"
17,2022-03-13 05:00:12+00:00,UNICEF,"Trains, buses, ferries, on foot - children and their families are using every means possible to escape war in… https://t.co/4wgUhUrFOp"
18,2022-03-13 04:45:02+00:00,UNESCO,"#Mathematics are everywhere in science and technology.

Mathematics are everywhere in the organization of our socie… https://t.co/c7BmodLf0I"
19,2022-03-13 04:43:55+00:00,Sairee,Reading @UdhyamVyapaar @UdhyamOrg newsletters Sunday am and I feel connected to their idea of India and our ecosyst… https://t.co/ZQ0hUf8FMH
