,User,Tweet
0,rohit_reddy1,"RT @unapologeticAnk: China places 17 million residents of Shenzhen under #COVID19 lockdown.

Karma spares none."
1,Uros10241350,"RT @VolkMarinca: Čestitke od 2 obletnici  @vladaRS in @JJansaSDS, ki je kljub vsem polenom, ki jih je bil deležen s strani #KULcev, zgodovi…"
2,Hectormont99,"RT @AUSTROHNGARO2: En la #Italia de #Draghi hablan solo de #COVID19 ,#Rusia y #Ucrania.
No informan de los 10 millones de italianos que luc…"
3,daily_research,"Participants needed for online survey!

Topic: ""Studying the correlation between Covid-19 vaccination status and sleep"" https://t.co/BTaFDOuuoE via @SurveyCircle

#sleep #covid19 #vaccines #pandemic #sleeing #SleepQuality #vaccination #survey #surveycircle https://t.co/A3yBds7jjl"
4,Wilsmit150,RT @joostluteijn: Deze wap haalde het in zijn bolle harses om de coronapandemie te vergelijken met de Elfstedentocht en dan in het bijzonde…
5,allanconnal,"RT @FreedomPodcast1: The Scottish Government has confirmed just 536 #COVID19 deaths in Scottish Hospitals, where #COVID19 was the only caus…"
6,FrancFranssais,RT @Will_M34: Aucun rebond du #COVID19 #Véran est un menteur ainsi que #Castex pour la 4 éme dose #propagande #Genocide #PassVaccinal #Dict…
7,PrincessBibiRF_,RT @shanghaidaily: #Shanghai reported 5 locally transmitted #Covid19 cases and 55 local asymptomatic infections on Sunday. 2 of the 6 cases…
8,europa_cuba,"RT @FinlayInstituto: Emotivo encuentro en @EmbaCubaFrancia del director general de @FinlayInstituto, @BencomoVerez, y la vicedirectora @Dag…"
9,JirapatMotho,"RT @ddc_riskcom: สถานการณ์ COVID-19 ในประเทศไทย
วันที่ 13 มีนาคม 2565

#โควิด19 #COVID19 #สถานการณ์โควิด19 https://t.co/Cw3gNHq8SK"
10,syedsaim_rauf,आज #गोरखपुर में 2 संक्रमित मिले. #COVID19 https://t.co/3UnxmdEcEK
11,ayu_agarwal94,#China places 17 million residents of Shenzhen under #COVID19 lockdown.
12,jjaranaz94,"RT @TrasElValle_OBC: ""'#Alba' (#crítica)"":

https://t.co/rWiGJmG3Sh

#8M2022 #DíaDeLaMujer #AlbaEstreno #DiaInternacionalDeLaMujer #Interna…"
13,tweet4852,"RT @TW_nextmedia: 香港累計3993染疫病歿　超越武漢死亡人數
#蘋果新聞網 #appledailytw #appledaily #武漢肺炎 #新冠肺炎 #COVID19 #疫情 #香港 #HK
→→https://t.co/WYFwqPqSiK https:/…"
14,Miguel28636042,"RT @JuventudRebelde: 🦠🧪😷Cuando los casos de #Covid19 parecen ir disminuyendo, comienzan a salir a la luz resultados de investigaciones que…"
15,kingof_wessex,"RT @FreedomPodcast1: The Scottish Government has confirmed just 536 #COVID19 deaths in Scottish Hospitals, where #COVID19 was the only caus…"
16,MemphisBlews,RT @AppSame: Biolabs Ukraine + #COVID19 = WMDs
17,jjaranaz94,"RT @jjaranaz94: ""'#Alba' (#crítica)"":

https://t.co/twSqSONg17

#8M2022 #DíaDeLaMujer #Alba1 #DiaInternacionalDeLaMujer #InternationalWomen…"
18,BadUberX,"RT @AbraarKaran: 1/ Over time, the effects of #covid19 on heart, brain, lungs, vascular system, sensory system, kidneys &amp; more will become…"
19,OjodeThot,RT @Gacetinmadrid: Sanidad autoriza el ensayo clínico de la vacuna española Hipra como dosis de refuerzo para los vacunados con AstraZeneca…
20,LaPurita69,"RT @AUSTROHNGARO2: En la #Italia de #Draghi hablan solo de #COVID19 ,#Rusia y #Ucrania.
No informan de los 10 millones de italianos que luc…"
21,kojimaamane,"RT @hakuthai: 保健省発表のATK陽性確認数は20,512(昨日20,385件)

https://t.co/zAWs4v2abw https://t.co/vZohl1o52o"
22,jjaranaz94,"RT @TrasElValle_OBC: ""#Reflexiones de mis #alumnos"":

https://t.co/b9PB53lbSC

#8M2022 #DíaDeLaMujer #DiaInternacionalDeLaMujer #Internatio…"
23,HysenShk,RT @Mediavenir: 🇫🇷 FLASH - Jean #Castex annonce l'ouverture de la 4e dose de vaccin aux plus de 80 ans face au rebond de l'épidémie de #COV…
24,Grosty10,"Morgen darf ich wieder in die Schule gehen.  Abwarten wie sich bei uns die Zahlen entwickeln. 
#twlz #COVID19 #DieMaskeBleibtAuf"
25,ktfjw,"RT @myrabatchelder: When ""experts"" tell you to ignore #Covid19 spikes happening in Europe because it won't happen in US, I want you to reme…"
26,jjaranaz94,"RT @jjaranaz94: ""Reflexiones de mis #alumnos"":

https://t.co/lC0xnK7IaU

#8M2022 #DíaDeLaMujer #DiaInternacionalDeLaMujer #InternationalWom…"
27,OlivZ17,"RT @newsflash_TF: L'#Autriche a suspendu une loi imposant des #vaccinations #Covid19 pour tous les adultes, 1 mois après l'entrée en vigueu…"
28,mdfdvntrs,"Interesting academic left-of-center (?) view from September 2020:
https://t.co/bxSIQF5SKU"
29,CharlieHorseToy,"RT @DrEricDing: I have a bad feeling again—China is reinstating measures &amp; has fired the mayors of 2 key cities. Thus far, China has shut d…"
30,ROCMAgl,"La fortune des dix milliardaires les plus riches a DOUBLÉ!!!!!!!🤫😭😵‍💫 
La fortune cumulée de l'ensemble des milliardaires a connu depuis le début de la pandémie de #Covid19 ""sa plus forte augmentation jamais enregistrée"", de    5 000 milliards de dollars https://t.co/8YSBioV9FY"
31,AilinColumbie,"RT @DiazCanelB: A dos años del primer caso de #COVID19 en #Cuba, nuestro país está en la vanguardia del enfrentamiento y control de la pand…"
32,gggiiggg,"COVID19[3/13日]

🈵東京8131(1,122,358)重1(63)死9(3946)
陽93.4%重12.4%中45.6%不59%調58785
https://t.co/tltlmsSiIt
🈵大阪4897(729,702)重-1(230)死12(4296)
陽28.5%重36.5%中65.9%調21637
https://t.co/tm4PN7DoHn

⚫日本50949(5,780,728)死90(26161)
⚫米国14,574(81,169,534)死649(993,693) https://t.co/JZFuZXoFLC"
33,Tesfayeeeeee,"RT @CerfiaFR: 🇨🇳 FLASH | La #Chine confine #Shenzhen, une ville de 17 millions d’habitants, en raison d’une augmentation de cas #COVID19.…"
34,jjaranaz94,"RT @TrasElValle_OBC: ""LA LACRA DEL SIGLO XXI""

https://t.co/uG04qGN1nx

#8M2022 #DíaDeLaMujer #DiaInternacionalDeLaMujer #InternationalWome…"
35,JosePepehz,"RT @linagalvezmunoz: Avanzo bien con mi #COVID19 pero desde luego no gracias a @AndaluciaJunta Salud Responde que NO RESPONDE el teléfono,…"
36,miyakilee,"RT @WAMNEWS_ENG: #UAE announces 318 new #COVID19 cases, 1,170 recoveries and no deaths in last 24 hours 
#WamNews https://t.co/yR9MSOfubg"
37,HeidiLamb14,"RT @myrabatchelder: When ""experts"" tell you to ignore #Covid19 spikes happening in Europe because it won't happen in US, I want you to reme…"
38,ActivistBowen2,"POPUP news: update: DAILY DIM SUM: 32430 new cases (REVISED #: 694246)...,(March 13, 2022; 16:53 HKT) #COVID2019 #COVID19 #HK"
39,McHanif,"RT @rafidah72: Lari 10km “hilangkan” COVID19?

MENGARUT!

1. Bila positif RTKAg, ASINGKAN diri. KUARANTIN. Dah kenapa pergi berlari 10km di…"
40,MichaelChadham1,"RT @doxograf: 🇩🇪12.03. In #Osnabrück waren heute wieder viele freiheitsliebende Menschen auf der Straße!🗽☮️✊

🚫#Impfpflicht  #NichtMitUns #…"
41,jjaranaz94,"RT @jjaranaz94: ""LA LACRA DEL SIGLO XXI""

https://t.co/ofoA0rzNFN

#8M2022 #DíaDeLaMujer #DiaInternacionalDeLaMujer #InternationalWomensDay…"
42,citizeneater,"RT @DrEricDing: I have a bad feeling again—China is reinstating measures &amp; has fired the mayors of 2 key cities. Thus far, China has shut d…"
43,MarcAurlienFri1,RT @kevinbossuet: « Je comprends qu’Olivier Veran soit en dépression depuis qu’il n’est plus invité partout dans les médias mais sa propens…
44,Lionado_Juma,#Shenzhen #COVID19 深圳正式发布通知全员禁足了，算不算封城？ https://t.co/O2pKGfe2Hy
45,denio_vale,"@JanainaDoBrasil, sua golpista, deixa de negacionista canalha e pára de desincentivar as vacina contra a #COVID19. Reações alérgicas graves às vacinas de mRNA são raríssimas.Milhões de mortes foram evitadas c/ as vacinas
Tú é uma cretina!
@crisvector @barbaragancia @marcelomedici https://t.co/cqYZj0Nidk"
46,flett_jane,"RT @AbraarKaran: 1/ Over time, the effects of #covid19 on heart, brain, lungs, vascular system, sensory system, kidneys &amp; more will become…"
