,User,Tweet
0,Sentdex,"RT @ShannonMcPhee: The most most special can be yours - @Sentdex has it and wants to find it a worthy home:

https://t.co/ZfE9S9ZBM0

#AI #…"
1,Sentdex,RT @PugTrader: Ordered 10 new copies of this magnificent book: Neural Networks from Scratch in #Python by Harrison Kinsley &amp; @Sentdex https…
2,Sentdex,"@omidforoqi 100% agree with this too. Python and all the devs using Python sit on the shoulders of giants... but C++ *also* does too ;) 

We're all just building on top of stuff pretty much."
3,Sentdex,"FTFY 
#Python https://t.co/ZRnkYVfnqG https://t.co/h9MH9EisNi"
4,Sentdex,"3 months since @YouTube removed the 👍👎 ratio. 
Do you miss it? 
Do you like it?
Don't care?"
5,Sentdex,"Part 3 of Starcraft AI in Python: Going on the offensive and defeating the enemy AI:

Text-based tutorial: https://t.co/Ncb5JjM732

Video: https://t.co/Ul0zXWlCWK"
6,Sentdex,"@whydoyouaskwhat Sure, but it looks like it already works :P"
7,Sentdex,😍🔥🤗 https://t.co/LxYCbtLSjn
8,Sentdex,"Building some defenses at our base in Starcraft 2 with #Python:

Text-based tutorial: https://t.co/Ta6ueS0Byd

Video: https://t.co/9kXBE0j9Zi"
9,Sentdex,"RTX 3090 signed by Founder and CEO of NVIDIA Jensen Huang himself!

It can be yours to win, all you need to be eligible is to sign up for GTC via: https://t.co/bon7nHSlWn and attend at least 1 session. 

Very jealous of whoever wins this one, good luck! https://t.co/kGoip9koQP"
10,Sentdex,"@The_Real_ReTr0 First 3 videos no real requirements IMO besides py3 basics, maybe asyncio. After that, I may get into using RL with it, so maybe the basics there, ie: https://t.co/AFdJlRiKjS

...but you should be fine at least to start here. Feel free to ask questions on the videos if lost."
11,Sentdex,"Programming Starcraft 2 AI bots in #Python introduction: 

Text-based tutorial: https://t.co/AXT0mYv3lc

Video: 
https://t.co/vAWUNWjHBa"
12,Sentdex,"The Google Docs access for any version of the Neural Networks from Scratch book continues to be one of the most valuable resources for a book like this. 

Just one more thing I wish I had access to when learning deep learning. https://t.co/N8A9d75fiN"
13,Sentdex,https://t.co/ONgKy2j3gz
14,Sentdex,@rodney_kaweesa 🤔
15,Sentdex,"If I didn't know it already existed, modern-day shipping would sound impossible to me. 

You want to get a package from anywhere in the world to anywhere in the world for ~$20? 

Yeah right!"
16,Sentdex,Is Windows terminal too much power? https://t.co/9f9THMhuFR
17,Sentdex,@16keanoo @marktenenholtz @3blue1brown Wow thank you for the kind words. Happy to be ranked anywhere in the general vicinity of 3b1b!
18,Sentdex,@Lofro8 Guess we'll have to agree to disagree on over 600 pages and full color and this in depth subject matter that...to date...exists nowhere compiled like this besides maybe some uni course that costs 100x this.
19,Sentdex,"@massoom_ Might I ask what phone you're using? https://t.co/KOIHgitEj4 reads fine for me on my phone, I wasn't aware of any mobile issues. Would want to fix em!"
20,Sentdex,"@massoom_ Same way it gets anywhere, order off https://t.co/KOIHgitEj4.

Hopefully one day we'll have a black and white, cheaper, version on amazon too."
21,Sentdex,"@jdfthetech Hah, I don't own the tutorials space. 

Lucky for me when I started, @bucky_roberts didn't own it either. 

As long as you're not just outright stealing content, everyone wins 👍"
22,Sentdex,"One of the coolest things to me about programming when I was getting into it was just how much actual sharing of knowledge/work/projects goes on. 

It's awesome to see someone who learned in part from me who is now sharing it forward. https://t.co/4SVLVVPvzT"
23,Sentdex,🎇 Enjoy! 🎉 https://t.co/S6eWsTNJST
24,Sentdex,"RT @CominoTech: When a long-awaited review of your product drops and it opens with ""this is the coolest deep learning machine that I have e…"
25,Sentdex,"@_CodeLife_ I believe @MKBHD would call that ""world class,"" grats! Hah"
26,Sentdex,"@JustinMitchel @hankgreen @MKBHD While we're sharing, can I see your top geographies for 90 days? 😁 https://t.co/EMWYE2PjL5"
27,Sentdex,MFW I realize this year will be a decade on YT. Jeez. https://t.co/VkXoEbkm9x https://t.co/BMFTRY6tEa
28,Sentdex,"@Siddharth1India Don't really have any internship spots, though I get this a lot. I just don't know what I'd have people doing :P"
29,Sentdex,"@gdpudasaini Well, real life has way more variables, way more powerful neural networks, and many many many more years of training :P"
